DiseaseName,AssociatedGenes
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, 35",RPL10
"Mental retardation, X-linked, syndromic, Bain type",HNRNPH2
"Mental retardation, X-linked, syndromic, Hedera type",ATP6AP2
"Mental retardation, X-linked, syndromic, Raymond type",ZDHHC9
"Mental retardation, X-linked, syndromic, wu type",GRIA3
Mercaptopurine response,"NUDT15, TPMT"
Meretoja syndrome,GSN
Merosin deficient congenital muscular dystrophy,LAMA2
MERRF syndrome,"MT-TF, MT-TI, MT-TK, MT-TL1, MT-TP"
"Mesangiocapillary glomerulonephritis, type II","DGKE, "
Mesoaxial synostotic syndactyly with phalangeal reduction,BHLHA9
"Mesothelioma, malignant","BCL10, WT1"
"Metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression",SLC25A42
"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",TANGO2
Metabolic myopathy,
Metabolic syndrome X,MTTP
Metacarpal 4-5 fusion,FGF16
Metachondromatosis,PTPN11
Metachromatic leukodystrophy,ARSA
Metaphyseal anadysplasia 2,MMP9
"Metaphyseal chondrodysplasia, Jansen type",PTH1R
"Metaphyseal chondrodysplasia, McKusick type",RMRP
"Metaphyseal chondrodysplasia, Schmid type",COL10A1
"Metaphyseal chondrodysplasia, Spahr type",MMP13
Metaphyseal dysplasia with maxillary hypoplasia and brachydactyly,RUNX2
Metaphyseal dysplasia without hypotrichosis,RMRP
Metatrophic dysplasia,TRPV4
Methemoglobinemia type 4,CYB5A
"Methemoglobinemia, alpha type",HBA1
"Methemoglobinemia, beta-globin type",HBB
Methylcobalamin deficiency type cblG,MTR
Methylcrotonyl-CoA carboxylase deficiency,
Methylmalonate semialdehyde dehydrogenase deficiency,ALDH6A1
Methylmalonic acidemia,
Methylmalonic acidemia with homocystinuria,
Methylmalonic acidemia with homocystinuria cblD,MMADHC
"Methylmalonic acidemia with homocystinuria, type cblJ",ABCD4
Methylmalonic aciduria and homocystinuria type cblF,LMBRD1
Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency,MMUT
Methylmalonic aciduria due to transcobalamin receptor defect,CD320
Methylmalonyl-CoA epimerase deficiency,MCEE
Mevalonic aciduria,MVK
"Microangiopathy and leukoencephalopathy, pontine, autosomal dominant",COL4A1
"Microcephalic osteodysplastic dysplasia, Saul-Wilson type",COG4
Microcephalic osteodysplastic primordial dwarfism type II,PCNT
Microcephaly-capillary malformation syndrome,STAMBP
Microcephaly-micromelia syndrome,DONSON
"Microcephaly 16, primary, autosomal recessive",ANKLE2
"Microcephaly 17, primary, autosomal recessive",CIT
"Microcephaly 18, primary, autosomal dominant",WDFY3
"Microcephaly 19, primary, autosomal recessive",COPB2
"Microcephaly 20, primary, autosomal recessive",KIF14
"Microcephaly 21, primary, autosomal recessive",NCAPD2
"Microcephaly 22, primary, autosomal recessive",NCAPD3
"Microcephaly 23, primary, autosomal recessive",NCAPH
"Microcephaly 24, primary, autosomal recessive",NUP37
"Microcephaly 25, primary, autosomal recessive",TRAPPC14
"Microcephaly 26, primary, autosomal dominant",LMNB1
"Microcephaly 27, primary, autosomal dominant",LMNB2
"MICROCEPHALY 28, PRIMARY, AUTOSOMAL RECESSIVE",RRP7A
Microcephaly and chorioretinopathy,
"Microcephaly and chorioretinopathy, autosomal recessive, 1",TUBGCP6
"Microcephaly and chorioretinopathy, autosomal recessive, 2",PLK4
"Microcephaly and chorioretinopathy, autosomal recessive, 3",TUBGCP4
Microcephaly with mental retardation and digital anomalies,RBBP8
"Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation",KIF11
"Microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum",KCNA4
"Microcephaly, congenital cataract, and psoriasiform dermatitis",MSMO1
"Microcephaly, developmental delay, and brittle hair syndrome",CARS1
"Microcephaly, epilepsy, and diabetes syndrome",IER3IP1
"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME 2",YIPF5
"Microcephaly, facial dysmorphism, renal agenesis, and ambiguous genitalia syndrome",CTU2
"Microcephaly, growth deficiency, seizures, and brain malformations",WDR4
"Microcephaly, growth restriction, and increased sister chromatid exchange 2",TOP3A
"Microcephaly, normal intelligence and immunodeficiency",NBN
"Microcephaly, postnatal progressive, with seizures and brain atrophy",MED17
"Microcephaly, progressive, with seizures and cerebral and cerebellar atrophy",QARS1
"Microcephaly, short stature, and impaired glucose metabolism 1",TRMT10A
"Microcephaly, short stature, and impaired glucose metabolism 2",PPP1R15B
"Microcephaly, short stature, and limb abnormalities",DONSON
"Microcephaly, short stature, and polymicrogyria with or without seizures",RTTN
"Microcornea, myopic chorioretinal atrophy, and telecanthus",ADAMTS18
"Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 1",ARL2
Microcytic anemia,
Microphthalmia with brain and digit anomalies,BMP4
Microphthalmia with limb anomalies,SMOC1
"Microphthalmia, isolated 2",VSX2
"Microphthalmia, isolated 3",RAX
"Microphthalmia, isolated 4",GDF6
"Microphthalmia, isolated 5",MFRP
"Microphthalmia, isolated 6",PRSS56
"Microphthalmia, isolated 7",GDF3
"Microphthalmia, isolated 8",ALDH1A3
"Microphthalmia, isolated, with coloboma 10",RBP4
"Microphthalmia, isolated, with coloboma 3",VSX2
"Microphthalmia, isolated, with coloboma 5",SHH
"Microphthalmia, isolated, with coloboma 6","GDF3, GDF6"
"Microphthalmia, isolated, with coloboma 7",ABCB6
"Microphthalmia, isolated, with coloboma 9",TENM3
"Microphthalmia, syndromic 11",VAX1
"Microphthalmia, syndromic 12",RARB
"Microphthalmia, syndromic 13",HMGB3
Microphthalmia/coloboma and skeletal dysplasia syndrome,MAB21L2
Microspherophakia,LTBP2
"Microtia, hearing impairment, and cleft palate",HOXA2
Microvascular complications of diabetes,
Microvascular complications of diabetes 1,VEGFA
Microvascular complications of diabetes 2,EPO
Microvascular complications of diabetes 3,ACE
Microvascular complications of diabetes 4,IL1RN
Microvascular complications of diabetes 5,PON1
Microvascular complications of diabetes 6,SOD2
Microvascular complications of diabetes 7,HFE
"Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis",AMMECR1
Migraine,"EDNRA, ESR1, TNF"
"Migraine, with or without aura 13",KCNK18
Miller syndrome,DHODH
Minicore myopathy with external ophthalmoplegia,RYR1
Mirage syndrome,SAMD9
Mirror movements 1,DCC
Mirror movements 2,RAD51
Mirror movements 3,DNAL4
Mirror movements 4,NTN1
Mismatch repair cancer syndrome 2,MSH2
Mismatch repair cancer syndrome 3,MSH6
Mismatch repair cancer syndrome 4,PMS2
Mitchell-Riley syndrome,RFX6
Mitchell syndrome,ACOX1
mitochondrial 3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HMGCS2
"Mitochondrial complex 1 deficiency, nuclear type 10",NDUFAF2
"Mitochondrial complex 1 deficiency, nuclear type 11",NDUFAF1
"Mitochondrial complex 1 deficiency, nuclear type 12",NDUFA1
"Mitochondrial complex 1 deficiency, nuclear type 13",NDUFA2
"Mitochondrial complex 1 deficiency, nuclear type 14",NDUFA11
"Mitochondrial complex 1 deficiency, nuclear type 15",NDUFAF4
"Mitochondrial complex 1 deficiency, nuclear type 16",NDUFAF5
"Mitochondrial complex 1 deficiency, nuclear type 17",NDUFAF6
"Mitochondrial complex 1 deficiency, nuclear type 18",NDUFAF3
"Mitochondrial complex 1 deficiency, nuclear type 19",FOXRED1
"Mitochondrial complex 1 deficiency, nuclear type 2",NDUFS8
"Mitochondrial complex 1 deficiency, nuclear type 21",NUBPL
"Mitochondrial complex 1 deficiency, nuclear type 22",NDUFA10
"Mitochondrial complex 1 deficiency, nuclear type 23",NDUFA12
"Mitochondrial complex 1 deficiency, nuclear type 24",NDUFB9
"Mitochondrial complex 1 deficiency, nuclear type 25",NDUFB3
"Mitochondrial complex 1 deficiency, nuclear type 26",NDUFA9
"Mitochondrial complex 1 deficiency, nuclear type 27",MTFMT
"Mitochondrial complex 1 deficiency, nuclear type 28",NDUFA13
"Mitochondrial complex 1 deficiency, nuclear type 29",TMEM126B
"Mitochondrial complex 1 deficiency, nuclear type 3",NDUFS7
"Mitochondrial complex 1 deficiency, nuclear type 30",NDUFB11
"Mitochondrial complex 1 deficiency, nuclear type 31",TIMMDC1
"Mitochondrial complex 1 deficiency, nuclear type 32",NDUFB8
"Mitochondrial complex 1 deficiency, nuclear type 33",NDUFA6
"Mitochondrial complex 1 deficiency, nuclear type 34",NDUFAF8
"Mitochondrial complex 1 deficiency, nuclear type 35",NDUFB10
"Mitochondrial complex 1 deficiency, nuclear type 36",NDUFC2
"Mitochondrial complex 1 deficiency, nuclear type 37",NDUFA8
"Mitochondrial complex 1 deficiency, nuclear type 4",NDUFV1
"Mitochondrial complex 1 deficiency, nuclear type 5",NDUFS1
"Mitochondrial complex 1 deficiency, nuclear type 6",NDUFS2
"Mitochondrial complex 1 deficiency, nuclear type 7",NDUFV2
"Mitochondrial complex 1 deficiency, nuclear type 8",NDUFS3
"Mitochondrial complex 1 deficiency, nuclear type 9",NDUFS6
"Mitochondrial complex 2 deficiency, nuclear type 2",SDHAF1
"Mitochondrial complex 2 deficiency, nuclear type 3",SDHD
"Mitochondrial complex 2 deficiency, nuclear type 4",SDHB
"Mitochondrial complex 3 deficiency, nuclear type 10",UQCRFS1
"Mitochondrial complex 4 deficiency, nuclear type 10",COX14
"Mitochondrial complex 4 deficiency, nuclear type 11",COX20
"Mitochondrial complex 4 deficiency, nuclear type 12",PET100
"Mitochondrial complex 4 deficiency, nuclear type 14",COA3
"Mitochondrial complex 4 deficiency, nuclear type 15",COX8A
"Mitochondrial complex 4 deficiency, nuclear type 16",COX4I1
"Mitochondrial complex 4 deficiency, nuclear type 17",COA8
"Mitochondrial complex 4 deficiency, nuclear type 18",COX6A2
"Mitochondrial complex 4 deficiency, nuclear type 19",PET117
"Mitochondrial complex 4 deficiency, nuclear type 20",COX5A
"Mitochondrial complex 4 deficiency, nuclear type 21",NDUFA4
"Mitochondrial complex 4 deficiency, nuclear type 3",COX10
"Mitochondrial complex 4 deficiency, nuclear type 4",SCO1
"Mitochondrial complex 4 deficiency, nuclear type 7",COX6B1
"Mitochondrial complex 4 deficiency, nuclear type 8",TACO1
Mitochondrial complex 5 (ATP synthase) deficiency nuclear type 5,ATP5F1D
"Mitochondrial complex 5 (ATP synthase) deficiency, nuclear type 6",ATP5MK
Mitochondrial complex I deficiency,
"Mitochondrial complex I deficiency, nuclear type 1",NDUFS4
"Mitochondrial complex II deficiency, nuclear type 1",SDHA
"Mitochondrial complex III deficiency, nuclear type 1",BCS1L
"Mitochondrial complex III deficiency, nuclear type 2",TTC19
"Mitochondrial complex III deficiency, nuclear type 3",UQCRB
"Mitochondrial complex III deficiency, nuclear type 4",UQCRQ
"Mitochondrial complex III deficiency, nuclear type 5",UQCRC2
"Mitochondrial complex III deficiency, nuclear type 6",CYC1
"Mitochondrial complex III deficiency, nuclear type 7",UQCC2
"Mitochondrial complex III deficiency, nuclear type 8",LYRM7
"Mitochondrial complex III deficiency, nuclear type 9",UQCC3
Mitochondrial complex IV deficiency,"MT-TN, MT-TS1, SURF1"
"MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 22",COX16
"Mitochondrial complex v (atp synthase) deficiency, nuclear type 4",ATP5F1A
Mitochondrial diseases,"MT-ND1, MT-ND4, MT-ND5, MT-ND6, MT-TA, MT-TC, MT-TD, MT-TF, MT-TH, MT-TK, MT-TL1, MT-TL2, MT-TM, MT-TQ, MT-TR, MT-TS1, MT-TS2, MT-TT, MT-TV, MT-TW, MT-TY, "
Mitochondrial DNA-Associated Leigh Syndrome and NARP,"MT-ATP6, MT-CO3, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND5, MT-ND6, MT-TI, MT-TK, MT-TL1, MT-TL2, MT-TV, MT-TW"
"Mitochondrial DNA-depletion syndrome 3, hepatocerebral",DGUOK
Mitochondrial DNA Deletion Syndromes,
Mitochondrial DNA depletion syndrome 1 (MNGIE type),"POLG, TYMP"
Mitochondrial DNA depletion syndrome 11,MGME1
"Mitochondrial DNA depletion syndrome 12a (cardiomyopathic type), autosomal dominant",SLC25A4
"Mitochondrial DNA depletion syndrome 12b (cardiomyopathic type), autosomal recessive",SLC25A4
Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type),FBXL4
Mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type),OPA1
Mitochondrial DNA depletion syndrome 15 (hepatocerebral type),TFAM
Mitochondrial DNA depletion syndrome 16 (hepatic type),POLG2
MITOCHONDRIAL DNA DEPLETION SYNDROME 16B (NEUROOPHTHALMIC TYPE),POLG2
Mitochondrial DNA depletion syndrome 17,MRM2
Mitochondrial DNA depletion syndrome 18,SLC25A21
Mitochondrial DNA depletion syndrome 19,SLC25A10
Mitochondrial DNA depletion syndrome 2,TK2
"Mitochondrial DNA depletion syndrome 4B, MNGIE type",POLG
Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria),SUCLA2
Mitochondrial DNA depletion syndrome 9 (encephalomyopathic with methylmalonic aciduria),SUCLG1
"Mitochondrial DNA depletion syndrome, encephalomyopathic form",
"Mitochondrial DNA depletion syndrome, encephalomyopathic form, with renal tubulopathy",RRM2B
"Mitochondrial DNA depletion syndrome, hepatocerebral form",
Mitochondrial myopathy,MT-TW
Mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome,MSTO1
Mitochondrial myopathy-lactic acidosis-deafness syndrome,PNPLA8
Mitochondrial myopathy and sideroblastic anemia,
"Mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy",FDX2
Mitochondrial phosphate carrier deficiency,SLC25A3
Mitochondrial pyruvate carrier deficiency,MPC1
Mitochondrial short-chain enoyl-coa hydratase 1 deficiency,ECHS1
Mitochondrial trifunctional protein deficiency,"HADHA, HADHB"
Mitral valve prolapse 2,DCHS1
Mitral valve prolapse 3,DZIP1
Miyoshi muscular dystrophy 1,DYSF
Miyoshi muscular dystrophy 3,ANO5
"Molybdenum cofactor deficiency, complementation group A",MOCS1
"Molybdenum cofactor deficiency, complementation group B",MOCS2
"Molybdenum cofactor deficiency, complementation group C",GPHN
Monocarboxylate transporter 1 deficiency,SLC16A1
"Monogenic Non-Syndromic Obesity, Autosomal Recessive",
"Mononeuropathy of the median nerve, mild",SH3TC2
Monosomy 7 myelodysplasia and leukemia syndrome 2,SAMD9
Monosomy 7 of bone marrow,SAMD9L
Morbid obesity and spermatogenic failure,CEP19
MORM syndrome,INPP5E
Morquio syndrome,
Mosaic variegated aneuploidy syndrome,
Mosaic variegated aneuploidy syndrome 1,BUB1B
Mosaic variegated aneuploidy syndrome 2,CEP57
Mosaic variegated aneuploidy syndrome 3,TRIP13
Mowat-Wilson syndrome,ZEB2
Moyamoya disease 2,RNF213
Moyamoya disease 5,ACTA2
Moyamoya disease 6 with achalasia,GUCY1A1
MPDU1-CDG,MPDU1
MPI-CDG,MPI
"Mucocutaneous ulceration, chronic",RELA
Mucolipidosis type II,GNPTAB
Mucolipidosis type III gamma,GNPTG
Mucolipidosis type IV,MCOLN1
Mucopolysaccharidosis-plus syndrome,VPS33A
Mucopolysaccharidosis type 1,
Mucopolysaccharidosis type 6,ARSB
Mucopolysaccharidosis type 7,GUSB
"Mucopolysaccharidosis, MPS-I-H/S",IDUA
"Mucopolysaccharidosis, MPS-I-S",IDUA
"Mucopolysaccharidosis, MPS-II",IDS
"Mucopolysaccharidosis, MPS-III-A",SGSH
"Mucopolysaccharidosis, MPS-III-B",NAGLU
"Mucopolysaccharidosis, MPS-III-C",HGSNAT
"Mucopolysaccharidosis, MPS-III-D",GNS
"Mucopolysaccharidosis, MPS-IV-A",GALNS
"Mucopolysaccharidosis, MPS-IV-B",GLB1
Mucosa-associated lymphoma,BCL10
Muenke syndrome,FGFR3
Muir-Torré syndrome,"MLH1, MSH2"
Mulibrey nanism syndrome,TRIM37
Mullegama-Klein-Martinez syndrome,STAG2
Mullerian aplasia and hyperandrogenism,WNT4
Multicentric carpo-tarsal osteolysis with or without nephropathy,MAFB
Multicentric osteolysis nodulosis arthropathy spectrum,
"Multicentric osteolysis, nodulosis and arthropathy",MMP2
Multiminicore Disease,"SELENON, "
Multiple acyl-CoA dehydrogenase deficiency,"ETFA, ETFB, ETFDH"
Multiple congenital anomalies-hypotonia-seizures syndrome,
Multiple congenital anomalies-hypotonia-seizures syndrome 1,PIGN
Multiple congenital anomalies-hypotonia-seizures syndrome 2,PIGA
Multiple congenital anomalies-hypotonia-seizures syndrome 3,PIGT
"Multiple congenital anomalies-neurodevelopmental syndrome, x-linked",OTUD5
Multiple congenital exostosis,"EXT1, "
Multiple cutaneous and mucosal venous malformations,TEK
"Multiple endocrine neoplasia, type 1",MEN1
"Multiple endocrine neoplasia, type 2",RET
"Multiple endocrine neoplasia, type 2a",RET
"Multiple endocrine neoplasia, type 2b",RET
"Multiple endocrine neoplasia, type 4",CDKN1B
Multiple epiphyseal dysplasia 1,COMP
Multiple epiphyseal dysplasia 6,COL9A1
Multiple epiphyseal dysplasia type 4,SLC26A2
Multiple epiphyseal dysplasia type 5,MATN3
"Multiple Epiphyseal Dysplasia, Dominant","MATN3, "
Multiple exostoses type 2,EXT2
Multiple fibroadenomas of the breast,PRLR
Multiple fibrofolliculomas,FLCN
Multiple gastrointestinal atresias,TTC7A
"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects","B3GAT3, CHST3"
Multiple mitochondrial dysfunctions syndrome 1,NFU1
Multiple mitochondrial dysfunctions syndrome 2,BOLA3
Multiple mitochondrial dysfunctions syndrome 3,IBA57
Multiple mitochondrial dysfunctions syndrome 4,ISCA2
Multiple mitochondrial dysfunctions syndrome 5,ISCA1
Multiple mitochondrial dysfunctions syndrome 6,PMPCB
Multiple myeloma,"CCND1, LIG4"
Multiple sclerosis susceptibility,"HLA-DQB1, HLA-DRB1, PDCD1"
"Multiple sclerosis, susceptibility to, 5",TNFRSF1A
Multiple self-healing squamous epithelioma,TGFBR1
Multiple sulfatase deficiency,SUMF1
Multiple synostoses syndrome 2,GDF5
Multiple synostoses syndrome 3,FGF9
Multiple synostoses syndrome 4,GDF6
Multiple system atrophy,COQ2
Multisystemic smooth muscle dysfunction syndrome,ACTA2
Mungan syndrome,RAD21
Muscle AMP deaminase deficiency,AMPD1
Muscle eye brain disease,
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1","FKRP, FKTN, LARGE1, POMT1, POMT2"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 10",RXYLT1
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11",B3GALNT2
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 12",POMK
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13",B4GAT1
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 14",GMPPB
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 8",POMGNT2
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 9",DAG1
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A3",POMGNT1
"Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type b, 15",DPM3
"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 14",GMPPB
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 12",POMK
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 14",GMPPB
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 7",CRPPA
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 8",POMGNT2
"Muscular dystrophy, congenital, davignon-chauveau type",TRIP4
"Muscular dystrophy, congenital, due to integrin alpha-7 deficiency",ITGA7
"Muscular dystrophy, congenital, with cataracts and intellectual disability",INPP5K
"Muscular dystrophy, limb-girdle, autosomal dominant 4",CAPN3
"Muscular dystrophy, limb-girdle, autosomal recessive 23",LAMA2
"Muscular dystrophy, limb-girdle, autosomal recessive 26",POPDC3
"Muscular dystrophy, limb-girdle, type 2W",LIMS2
"Muscular dystrophy, limb-girdle, type 2X",BVES
"Muscular dystrophy, limb-girdle, type 2y",TOR1AIP1
"Muscular dystrophy, limb-girdle, type 2z",POGLUT1
Mutilating keratoderma,GJB2
"Myasthenia, limb-girdle, familial",DOK7
"Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency",RAPSN
"Myasthenic syndrome, congenital, 14",ALG2
"Myasthenic syndrome, congenital, 15",ALG14
"Myasthenic syndrome, congenital, 17",LRP4
"Myasthenic syndrome, congenital, 18",SNAP25
"Myasthenic syndrome, congenital, 19",COL13A1
"Myasthenic syndrome, congenital, 20, presynaptic",SLC5A7
"Myasthenic syndrome, congenital, 21, presynaptic",SLC18A3
